task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,max_rank,category,type,value,additionals
vbs23-kis-t5,VIREO,1,1673262917964,91352,122345.0,6.0,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,1,1673276118202,122054,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,1,1673276138532,142384,260417.0,889.0,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,1,1673276144168,148020,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,1,1673276146087,149939,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,1,1673276175236,179088,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,1,1673276199414,203266,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,1,1673276219128,222980,260417.0,77.0,inf,inf,1000.0,,,,
vbs23-kis-v3,VIREO,1,1673276420078,13207,33964.0,1.0,40.0,6.0,1000.0,,,,
vbs23-kis-t3,VIREO,1,1673261425514,24215,,96.0,inf,96.0,1000.0,,,,
vbs23-kis-t3,VIREO,1,1673261435924,34625,,158.0,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,1,1673261439498,38199,,92.0,inf,92.0,1000.0,,,,
vbs23-kis-t3,VIREO,1,1673261446417,45118,,158.0,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,1,1673261454196,52897,,100.0,100.0,100.0,1000.0,,,,
vbs23-kis-t3,VIREO,1,1673261485761,84462,,184.0,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,1,1673261536974,135675,,135.0,135.0,135.0,1000.0,,,,
vbs23-kis-t3,VIREO,1,1673261553334,152035,,143.0,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,1,1673261611352,210053,,65.0,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,1,1673261690532,289233,,307.0,inf,inf,1000.0,,,,
vbs23-kis-t4,VIREO,1,1673262352926,30171,253492.0,87.0,87.0,87.0,1000.0,,,,
